timestamp,official_title,name,company_source,company_target,operator,type,share,description,value_usd,value_currency_amount,value_currency_unit,field,license_area,annoucement_date,start_date,end_date,,duration_months,source_date,,source_url,,,,,log_message
4/24/2014 20:24:03,,Facility Drawings As-built Updates for 4 Production Stations (Ongoing),Shell Petroleum Development Company of Nigeria Limited (SPDC),Point Engineering Limited,,Service Contracts,,Facility Drawings As-built Updates for 4 Production Stations (Ongoing),,,,,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:24:03,,,,
4/24/2014 20:28:12,,Detailed Design for Brass Cana and FF Pumps Station Revamp (2007),Nigerian Agip Oil Company Limited,Point Engineering Limited,,Service Contracts,,Detailed Design for Brass Cana and FF Pumps Station Revamp at Brass Terminal (2007),,,,,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:28:12,,,,
4/24/2014 20:42:34,,Technical Staffing Support (2006),Saipem Nigeria,Point Engineering Limited,,Service Contracts,,Technical Staffing Support at OB-OB Gas Plant (2006),,,,,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:42:34,,,,
4/24/2014 20:51:23,,Gas Lift FEED and Gas Export FEED (2006),Saipem Energy International,Point Engineering Limited,,Service Contracts,,Gas Lift FEED and Gas Export FEED (2006),,,,Okpoho,OML 119,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:51:23,,,,
4/24/2014 20:58:36,,Define Phase Engineering for Bonga SW/Aparo Gas Export Pipeline (2005),Shell Nigeria Exploration and Production Company (SNEPCO),Point Engineering Limited,,Service Contracts,,Define Phase Engineering for Bonga SW/Aparo Gas Export Pipeline (2005),,,,"Bonga SW, Aparo",,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 20:58:36,,,,
4/24/2014 21:01:08,,Basic Engineering Studies and Design for the Material Recovering Facilities (2003),Totalfinaelf Nigeria Limited,Point Engineering Limited,,Service Contracts,,"Basic Engineering Studies and Design for the Material Recovering Facilities at Obagi, ONELGA, Rivers state (2003)",,,,Obagi,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/24/2014 21:01:08,,,,
4/25/2014 9:53:55,,Engineering evaluation of failed mooring system hose and structures (2001),Amni International Petroleum Development Company Limited,Point Engineering Limited,,Service Contracts,,Engineering evaluation of failed mooring system hose and structures at Ailsa Craig FSO (2001),,,,,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/25/2014 9:53:55,,,,
4/25/2014 10:15:58,,Cawthorne Channel AGG Pipeline Project: Complete detailed design and engineering survey work for eleven (11) low and high pressure pipelines in the swamp terrain and major river / creek crossings (2001).,Daewoo Engineering and Construction Company Limited,Point Engineering Limited,,Service Contracts,,Cawthorne Channel AGG Pipeline Project: Complete detailed design and engineering survey work for eleven (11) low and high pressure pipelines in the swamp terrain and major river / creek crossings (2001).,,,,,,,,,,,,,http://pointengineering.com/index.php/experience?start=1,4/25/2014 10:15:58,,,,
,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,Shell Petroleum Development Company of Nigeria Limited (SPDC),Laser Engineering and Consultancy Nigeria Limited,,Service Contracts,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,,,,,,2012-06,,,,,,,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,
,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,Shell Petroleum Development Company of Nigeria Limited (SPDC),Ankorpointe Nigeria Limited,,Service Contracts,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,,,,,,2012-06,,,,,,,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,
,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,Shell Petroleum Development Company of Nigeria Limited (SPDC),Integrated Data Services Limited,,Service Contracts,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,,,,,,2012-06,,,,,,,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,
,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,Shell Petroleum Development Company of Nigeria Limited (SPDC),Nubian Nigeria Limited,,Service Contracts,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,,,,,,2012-06,,,,,,,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,
,,Manufacture of two line pipe mills,Shell Petroleum Development Company of Nigeria Limited (SPDC),SCC Nigeria Limited,,Service Contracts,,Manufacture of two line pipe mills,"49,300,000","7,800,000,000",Naira,,,2011-10,,,,,,,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2011/line-pipes.html,,,,,
,,Manufacture of export pipeline in the Niger Delta,Shell Petroleum Development Company of Nigeria Limited (SPDC),Nestoil Plc,,Service Contracts,,Manufacture of export pipeline in the Niger Delta,,,,,,2013-07,,,,,,,http://www.thisdaylive.com/articles/nestoil-secures-shell-s-major-pipeline-contract/152200/,,,,,
,,Building a floating production storage and offloading (FPSO) unit,Total Upstream Nigeria Limited (TUPNIL),Samsung Heavy Industries Upstream Nigeria,,Service Contracts,,Building a floating production storage and offloading (FPSO) unit,,,,,,2013-08,,,,,,,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,
,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.",Samsung Heavy Industries Upstream Nigeria,WorleyParsons Limited,,Service Contracts,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.","100,000,000",,,,,2013-08,,,,,,,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,
,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.",Samsung Heavy Industries Upstream Nigeria,International Energy Systems Limited,,Service Contracts,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.","100,000,000",,,,,2013-08,,,,,,,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,
,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.",Samsung Heavy Industries Upstream Nigeria,DeltaAfrik Engineering Limited,,Service Contracts,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.","100,000,000",,,,,2013-08,,,,,,,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,
,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.",Samsung Heavy Industries Upstream Nigeria,National Engineering and Technical Company Limited (NETCO),,Service Contracts,,"Consortium contract - WorleyParsons, NETCO, International Energy Systems Limited and DeltaAfrik won a $100 million subcontract from Samsung Heavy Industries Upstream Nigeria to build a floating production storage and offloading (FPSO) unit for TUPNIL. August 2013.","100,000,000",,,,,2013-08,,,,,,,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,
